,,,"Haliburton, County [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Household and dwelling characteristics","Number of persons in private households",,   17785,,,...,,...,13242160,,,...,,...
"Household and dwelling characteristics","Average household size",,    2.1,,,...,,...,    2.6,,,...,,...
"Marital status","Total - Marital status for the population aged 15 years and over - 100% data",9,   16345,,    8145,,    8195,,11240525,, 5427775,, 5812750,
"Marital status","  Married or living common law",,   10725,,    5370,,    5355,, 6438085,, 3219290,, 3218795,
"Marital status","    Married",,    8970,,    4490,,    4480,, 5531930,, 2764275,, 2767655,
"Marital status","    Living common law",,    1755,,     880,,     875,,  906155,,  455015,,  451145,
"Marital status","  Not married and not living common law",,    5615,,    2775,,    2840,, 4802440,, 2208485,, 2593955,
"Marital status","    Never married",,    2755,,    1630,,    1125,, 3182785,, 1689180,, 1493605,
"Marital status","    Separated",,     480,,     240,,     240,,  328675,,  138140,,  190535,
"Marital status","    Divorced",,    1060,,     565,,     500,,  653835,,  252900,,  400935,
"Marital status","    Widowed",,    1320,,     340,,     980,,  637150,,  128265,,  508880,
"Family characteristics","Total - Census families in private households by family size - 100% data",10,    5895,,,...,,..., 3782540,,,...,,...
"Family characteristics","  2 persons",,    4210,,,...,,..., 1815000,,,...,,...
"Family characteristics","  3 persons",,     855,,,...,,...,  844545,,,...,,...
"Family characteristics","  4 persons",,     635,,,...,,...,  792435,,,...,,...
"Family characteristics","  5 or more persons",,     200,,,...,,...,  330560,,,...,,...
"Family characteristics","Average size of census families",,    2.5,,,...,,...,    2.9,,,...,,...
"Family characteristics","Total number of census families in private households - 100% data",11,    5895,,,...,,..., 3782545,,,...,,...
"Family characteristics","  Total couple families",,    5255,,,...,,..., 3137570,,,...,,...
"Family characteristics","    Married couples",,    4380,,,...,,..., 2684735,,,...,,...
"Family characteristics","    Common-law couples",,     880,,,...,,...,  452840,,,...,,...
"Family characteristics","  Total lone-parent families by sex of parent",,     640,,,...,,...,  644975,,,...,,...
"Family characteristics","    Female parent",,     480,,,...,,...,  518480,,,...,,...
"Family characteristics","    Male parent",,     160,,,...,,...,  126495,,,...,,...
"Family characteristics","Total - Couple census families in private households - 100% data",,    5260,,,...,,..., 3137565,,,...,,...
"Family characteristics","  Couples without children",,    3770,,,...,,..., 1428575,,,...,,...
"Family characteristics","  Couples with children",,    1490,,,...,,..., 1708995,,,...,,...
"Family characteristics","    1 child",,     715,,,...,,...,  658305,,,...,,...
"Family characteristics","    2 children",,     595,,,...,,...,  738710,,,...,,...
"Family characteristics","    3 or more children",,     185,,,...,,...,  311975,,,...,,...
"Family characteristics","Total - Lone-parent census families in private households - 100% data",,     635,,,...,,...,  644975,,,...,,...
"Family characteristics","  1 child",,     440,,,...,,...,  386425,,,...,,...
"Family characteristics","  2 children",,     145,,,...,,...,  186240,,,...,,...
"Family characteristics","  3 or more children",,      55,,,...,,...,   72310,,,...,,...
"Family characteristics","Total - Persons not in census families in private households - 100% data",,    3245,,    1620,,    1620,, 2139825,,  990525,, 1149300,
"Household type","Total - Private households by household type - 100% data",12,    8440,,,...,,..., 5169175,,,...,,...
"Household type","  One-census-family households",,    5690,,,...,,..., 3481885,,,...,,...
"Household type","    Without children in a census family",13,    3675,,,...,,..., 1311575,,,...,,...
"Household type","    With children in a census family",14,    2015,,,...,,..., 2170315,,,...,,...
"Household type","  Multiple-census-family households",,     105,,,...,,...,  145615,,,...,,...
"Household type","  Non-census-family households",,    2650,,,...,,..., 1541665,,,...,,...
"Household type","    One-person households",,    2425,,,...,,..., 1341305,,,...,,...
"Household type","    Two-or-more person non-census-family households",,     225,,,...,,...,  200365,,,...,,...
"Knowledge of official languages","Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",15,   17905,,    9010,,    8890,,13312865,, 6503875,, 6808990,
"Knowledge of official languages","  English only",,   16970,,    8595,,    8375,,11455500,, 5689830,, 5765665,
"Knowledge of official languages","  French only",,       0,,       0,,       0,,   40040,,   17340,,   22705,
"Knowledge of official languages","  English and French",,     920,,     410,,     510,, 1490390,,  665850,,  824540,
"Knowledge of official languages","  Neither English nor French",,      15,,       5,,       5,,  326935,,  130850,,  196085,
"First official language spoken","Total - First official language spoken for the total population excluding institutional residents - 100% data",16,   17905,,    9010,,    8890,,13312865,, 6503880,, 6808995,
"First official language spoken","  English",,   17725,,    8920,,    8805,,12394325,, 6095970,, 6298355,
"First official language spoken","  French",,     150,,      80,,      75,,  504130,,  236875,,  267250,
"First official language spoken","  English and French",,      20,,      10,,       5,,   92940,,   42910,,   50030,
"First official language spoken","  Neither English nor French",,      10,,       5,,       5,,  321480,,  128125,,  193355,
"First official language spoken","Official language minority (number)",17,     155,,      80,,      75,,  550600,,  258330,,  292270,
"First official language spoken","Official language minority (percentage)",17,    0.9,,    0.9,,    0.8,,    4.1,,    4.0,,    4.3,
"Mother tongue","Total - Mother tongue for the total population excluding institutional residents - 100% data",18,   17905,,    9010,,    8895,,13312870,, 6503875,, 6808990,
"Mother tongue","  Single responses",,   17805,,    8970,,    8835,,12946960,, 6327630,, 6619330,
"Mother tongue","    Official languages",,   16795,,    8490,,    8305,, 9393040,, 4637520,, 4755520,
"Mother tongue","      English",,   16620,,    8395,,    8225,, 8902320,, 4406210,, 4496110,
"Mother tongue","      French",,     170,,      90,,      80,,  490715,,  231310,,  259410,
"Mother tongue","    Non-official languages",,    1015,,     480,,     530,, 3553920,, 1690110,, 1863810,
"Mother tongue","      Aboriginal languages",,       0,,       0,,       0,,   22765,,   10815,,   11950,
"Mother tongue","        Algonquian languages",,       0,,       0,,       0,,   21235,,   10175,,   11060,
"Mother tongue","          Blackfoot",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","          Cree-Montagnais languages",,       0,,       0,,       0,,    5080,,    2485,,    2595,
