,,,"York, Regional municipality [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Marital status","    Never married",,  245890,,  129890,,  116005,, 3182785,, 1689180,, 1493605,
"Marital status","    Separated",,   18855,,    7115,,   11745,,  328675,,  138140,,  190535,
"Marital status","    Divorced",,   41075,,   14095,,   26980,,  653835,,  252900,,  400935,
"Marital status","    Widowed",,   42745,,    7680,,   35065,,  637150,,  128265,,  508880,
"Family characteristics","Total - Census families in private households by family size - 100% data",10,  319535,,,...,,..., 3782540,,,...,,...
"Family characteristics","  2 persons",,  119170,,,...,,..., 1815000,,,...,,...
"Family characteristics","  3 persons",,   81005,,,...,,...,  844545,,,...,,...
"Family characteristics","  4 persons",,   88875,,,...,,...,  792435,,,...,,...
"Family characteristics","  5 or more persons",,   30485,,,...,,...,  330560,,,...,,...
"Family characteristics","Average size of census families",,    3.1,,,...,,...,    2.9,,,...,,...
"Family characteristics","Total number of census families in private households - 100% data",11,  319535,,,...,,..., 3782545,,,...,,...
"Family characteristics","  Total couple families",,  275595,,,...,,..., 3137570,,,...,,...
"Family characteristics","    Married couples",,  257325,,,...,,..., 2684735,,,...,,...
"Family characteristics","    Common-law couples",,   18270,,,...,,...,  452840,,,...,,...
"Family characteristics","  Total lone-parent families by sex of parent",,   43940,,,...,,...,  644975,,,...,,...
"Family characteristics","    Female parent",,   35455,,,...,,...,  518480,,,...,,...
"Family characteristics","    Male parent",,    8485,,,...,,...,  126495,,,...,,...
"Family characteristics","Total - Couple census families in private households - 100% data",,  275590,,,...,,..., 3137565,,,...,,...
"Family characteristics","  Couples without children",,   93850,,,...,,..., 1428575,,,...,,...
"Family characteristics","  Couples with children",,  181745,,,...,,..., 1708995,,,...,,...
"Family characteristics","    1 child",,   66790,,,...,,...,  658305,,,...,,...
"Family characteristics","    2 children",,   85340,,,...,,...,  738710,,,...,,...
"Family characteristics","    3 or more children",,   29615,,,...,,...,  311975,,,...,,...
"Family characteristics","Total - Lone-parent census families in private households - 100% data",,   43940,,,...,,...,  644975,,,...,,...
"Family characteristics","  1 child",,   25320,,,...,,...,  386425,,,...,,...
"Family characteristics","  2 children",,   14220,,,...,,...,  186240,,,...,,...
"Family characteristics","  3 or more children",,    4400,,,...,,...,   72310,,,...,,...
"Family characteristics","Total - Persons not in census families in private households - 100% data",,  104335,,   42125,,   62215,, 2139825,,  990525,, 1149300,
"Household type","Total - Private households by household type - 100% data",12,  357085,,,...,,..., 5169175,,,...,,...
"Household type","  One-census-family households",,  277380,,,...,,..., 3481885,,,...,,...
"Household type","    Without children in a census family",13,   76320,,,...,,..., 1311575,,,...,,...
"Household type","    With children in a census family",14,  201060,,,...,,..., 2170315,,,...,,...
"Household type","  Multiple-census-family households",,   20350,,,...,,...,  145615,,,...,,...
"Household type","  Non-census-family households",,   59350,,,...,,..., 1541665,,,...,,...
"Household type","    One-person households",,   52505,,,...,,..., 1341305,,,...,,...
"Household type","    Two-or-more person non-census-family households",,    6850,,,...,,...,  200365,,,...,,...
"Knowledge of official languages","Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",15, 1103285,,  538500,,  564785,,13312865,, 6503875,, 6808990,
"Knowledge of official languages","  English only",,  967750,,  481900,,  485850,,11455500,, 5689830,, 5765665,
