,,,"Lanark, County [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Marital status","    Separated",,    1765,,     770,,     990,,  328675,,  138140,,  190535,
"Marital status","    Divorced",,    3620,,    1495,,    2130,,  653835,,  252900,,  400935,
"Marital status","    Widowed",,    4040,,     875,,    3165,,  637150,,  128265,,  508880,
"Family characteristics","Total - Census families in private households by family size - 100% data",10,   20945,,,...,,..., 3782540,,,...,,...
"Family characteristics","  2 persons",,   12185,,,...,,..., 1815000,,,...,,...
"Family characteristics","  3 persons",,    4050,,,...,,...,  844545,,,...,,...
"Family characteristics","  4 persons",,    3375,,,...,,...,  792435,,,...,,...
"Family characteristics","  5 or more persons",,    1335,,,...,,...,  330560,,,...,,...
"Family characteristics","Average size of census families",,    2.7,,,...,,...,    2.9,,,...,,...
"Family characteristics","Total number of census families in private households - 100% data",11,   20940,,,...,,..., 3782545,,,...,,...
"Family characteristics","  Total couple families",,   17960,,,...,,..., 3137570,,,...,,...
"Family characteristics","    Married couples",,   14725,,,...,,..., 2684735,,,...,,...
"Family characteristics","    Common-law couples",,    3240,,,...,,...,  452840,,,...,,...
"Family characteristics","  Total lone-parent families by sex of parent",,    2985,,,...,,...,  644975,,,...,,...
"Family characteristics","    Female parent",,    2310,,,...,,...,  518480,,,...,,...
"Family characteristics","    Male parent",,     675,,,...,,...,  126495,,,...,,...
"Family characteristics","Total - Couple census families in private households - 100% data",,   17960,,,...,,..., 3137565,,,...,,...
"Family characteristics","  Couples without children",,   10310,,,...,,..., 1428575,,,...,,...
"Family characteristics","  Couples with children",,    7650,,,...,,..., 1708995,,,...,,...
"Family characteristics","    1 child",,    3240,,,...,,...,  658305,,,...,,...
"Family characteristics","    2 children",,    3130,,,...,,...,  738710,,,...,,...
"Family characteristics","    3 or more children",,    1280,,,...,,...,  311975,,,...,,...
"Family characteristics","Total - Lone-parent census families in private households - 100% data",,    2985,,,...,,...,  644975,,,...,,...
"Family characteristics","  1 child",,    1875,,,...,,...,  386425,,,...,,...
"Family characteristics","  2 children",,     810,,,...,,...,  186240,,,...,,...
"Family characteristics","  3 or more children",,     295,,,...,,...,   72310,,,...,,...
"Family characteristics","Total - Persons not in census families in private households - 100% data",,   10100,,    4565,,    5540,, 2139825,,  990525,, 1149300,
"Household type","Total - Private households by household type - 100% data",12,   28580,,,...,,..., 5169175,,,...,,...
"Household type","  One-census-family households",,   20060,,,...,,..., 3481885,,,...,,...
"Household type","    Without children in a census family",13,    9930,,,...,,..., 1311575,,,...,,...
"Household type","    With children in a census family",14,   10135,,,...,,..., 2170315,,,...,,...
"Household type","  Multiple-census-family households",,     440,,,...,,...,  145615,,,...,,...
"Household type","  Non-census-family households",,    8080,,,...,,..., 1541665,,,...,,...
"Household type","    One-person households",,    7385,,,...,,..., 1341305,,,...,,...
"Household type","    Two-or-more person non-census-family households",,     695,,,...,,...,  200365,,,...,,...
"Knowledge of official languages","Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",15,   67615,,   33005,,   34610,,13312865,, 6503875,, 6808990,
"Knowledge of official languages","  English only",,   57805,,   28645,,   29165,,11455500,, 5689830,, 5765665,
"Knowledge of official languages","  French only",,      40,,      15,,      25,,   40040,,   17340,,   22705,
"Knowledge of official languages","  English and French",,    9685,,    4315,,    5375,, 1490390,,  665850,,  824540,
"Knowledge of official languages","  Neither English nor French",,      85,,      35,,      45,,  326935,,  130850,,  196085,
"First official language spoken","Total - First official language spoken for the total population excluding institutional residents - 100% data",16,   67615,,   33005,,   34605,,13312865,, 6503880,, 6808995,
"First official language spoken","  English",,   65000,,   31780,,   33225,,12394325,, 6095970,, 6298355,
"First official language spoken","  French",,    2420,,    1130,,    1290,,  504130,,  236875,,  267250,
"First official language spoken","  English and French",,     115,,      65,,      50,,   92940,,   42910,,   50030,
"First official language spoken","  Neither English nor French",,      75,,      35,,      40,,  321480,,  128125,,  193355,
"First official language spoken","Official language minority (number)",17,    2475,,    1160,,    1315,,  550600,,  258330,,  292270,
"First official language spoken","Official language minority (percentage)",17,    3.7,,    3.5,,    3.8,,    4.1,,    4.0,,    4.3,
"Mother tongue","Total - Mother tongue for the total population excluding institutional residents - 100% data",18,   67615,,   33010,,   34610,,13312870,, 6503875,, 6808990,
"Mother tongue","  Single responses",,   67025,,   32740,,   34285,,12946960,, 6327630,, 6619330,
"Mother tongue","    Official languages",,   65040,,   31825,,   33210,, 9393040,, 4637520,, 4755520,
"Mother tongue","      English",,   62555,,   30660,,   31890,, 8902320,, 4406210,, 4496110,
"Mother tongue","      French",,    2480,,    1160,,    1320,,  490715,,  231310,,  259410,
"Mother tongue","    Non-official languages",,    1990,,     920,,    1070,, 3553920,, 1690110,, 1863810,
"Mother tongue","      Aboriginal languages",,      20,,      10,,      10,,   22765,,   10815,,   11950,
"Mother tongue","        Algonquian languages",,       5,,       5,,       5,,   21235,,   10175,,   11060,
"Mother tongue","          Blackfoot",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","          Cree-Montagnais languages",,       0,,       5,,       5,,    5080,,    2485,,    2595,
"Mother tongue","            Atikamekw",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Montagnais (Innu)",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","            Moose Cree",,       0,,       0,,       0,,      85,,      40,,      45,
"Mother tongue","            Naskapi",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","            Northern East Cree",,       0,,       0,,       0,,      55,,      25,,      30,
"Mother tongue","            Plains Cree",,       0,,       0,,       0,,      35,,       5,,      30,
"Mother tongue","            Southern East Cree",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Swampy Cree",,       0,,       0,,       0,,     355,,     135,,     225,
"Mother tongue","            Woods Cree",,       0,,       0,,       0,,      15,,      10,,       5,
"Mother tongue","            Cree; n.o.s.",,       5,,       5,,       0,,    4500,,    2255,,    2245,
"Mother tongue","          Eastern Algonquian languages",,       0,,       0,,       0,,      90,,      40,,      50,
"Mother tongue","            Malecite",,       0,,       0,,       0,,      10,,       5,,       0,
"Mother tongue","            Mi'kmaq",,       0,,       0,,       0,,      85,,      35,,      50,
"Mother tongue","          Ojibway-Potawatomi languages",,       0,,       0,,       0,,   16025,,    7620,,    8400,
"Mother tongue","            Algonquin",,       0,,       0,,       0,,      65,,      30,,      35,
"Mother tongue","            Ojibway",,       0,,       0,,       0,,    9505,,    4515,,    4985,
"Mother tongue","            Oji-Cree",,       0,,       0,,       0,,    6310,,    3015,,    3300,
"Mother tongue","            Ottawa (Odawa)",,       0,,       0,,       0,,     145,,      65,,      80,
"Mother tongue","          Algonquian languages; n.i.e.",,       0,,       0,,       0,,      30,,      20,,      10,
"Mother tongue","        Athabaskan languages",,       0,,       0,,       0,,      60,,      20,,      40,
"Mother tongue","          Northern Athabaskan languages",,       0,,       0,,       0,,      55,,      20,,      35,
"Mother tongue","            Babine (Wetsuwet'en)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Beaver",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Carrier",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","            Chilcotin",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","            Dene",,       0,,       0,,       0,,      20,,      10,,      10,
"Mother tongue","            Dogrib (Tlicho)",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","            Gwich'in",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Sarsi (Sarcee)",,       0,,       0,,       0,,      10,,       0,,       5,
"Mother tongue","            Sekani",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Slavey-Hare languages",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","              North Slavey (Hare)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              South Slavey",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Slavey; n.o.s.",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","            Tahltan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Kaska (Nahani)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Tahltan",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Tutchone languages",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","              Northern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Southern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Athabaskan languages; n.i.e.",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","        Haida",,       0,,       0,,       0,,       0,,       5,,       0,
"Mother tongue","        Inuit languages",,      15,,       5,,       5,,     475,,     165,,     305,
"Mother tongue","          Inuinnaqtun (Inuvialuktun)",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","          Inuktitut",,      10,,       5,,       5,,     425,,     145,,     280,
"Mother tongue","          Inuit languages; n.i.e.",,       0,,       0,,       0,,      45,,      20,,      25,
"Mother tongue","        Iroquoian languages",,       0,,       0,,       0,,     710,,     300,,     410,
"Mother tongue","          Cayuga",,       0,,       0,,       0,,      40,,      20,,      20,
"Mother tongue","          Mohawk",,       0,,       0,,       0,,     590,,     255,,     335,
"Mother tongue","          Oneida",,       0,,       0,,       0,,      55,,      15,,      40,
"Mother tongue","          Iroquoian languages; n.i.e.",,       0,,       0,,       0,,      20,,       5,,      15,
"Mother tongue","        Kutenai",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Michif",,       0,,       5,,       0,,      25,,      15,,      15,
"Mother tongue","        Salish languages",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","          Comox",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Halkomelem",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Lillooet",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Okanagan",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Shuswap (Secwepemctsin)",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","          Squamish",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Straits",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Thompson (Ntlakapamux)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Salish languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Siouan languages",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","          Dakota",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","          Stoney",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Siouan languages; n.i.e.",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","        Tlingit",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Tsimshian languages",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","          Gitxsan (Gitksan)",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","          Nisga'a",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","          Tsimshian",,       0,,       0,,       0,,       0,,       5,,       0,
"Mother tongue","        Wakashan languages",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","          Haisla",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Heiltsuk",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Kwakiutl (Kwak'wala)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Nuu-chah-nulth (Nootka)",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","          Wakashan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Aboriginal languages; n.o.s.",,       0,,       0,,       0,,     235,,     130,,     105,
"Mother tongue","      Non-Aboriginal languages",,    1970,,     905,,    1060,, 3531160,, 1679300,, 1851865,
"Mother tongue","        Afro-Asiatic languages",,     100,,      55,,      40,,  253830,,  127720,,  126110,
"Mother tongue","          Berber languages",,       5,,       0,,       0,,     725,,     405,,     320,
"Mother tongue","            Kabyle",,       0,,       0,,       0,,     425,,     225,,     200,
"Mother tongue","            Berber languages; n.i.e.",,       0,,       0,,       0,,     305,,     180,,     120,
"Mother tongue","          Cushitic languages",,       0,,       5,,       0,,   24605,,   10730,,   13870,
"Mother tongue","            Bilen",,       0,,       0,,       0,,     250,,     140,,     110,
"Mother tongue","            Oromo",,       0,,       0,,       0,,    1445,,     720,,     730,
"Mother tongue","            Somali",,       0,,       0,,       0,,   22680,,    9755,,   12925,
"Mother tongue","            Cushitic languages; n.i.e.",,       0,,       0,,       0,,     225,,     115,,     110,
"Mother tongue","          Semitic languages",,      95,,      55,,      40,,  227985,,  116320,,  111665,
"Mother tongue","            Amharic",,       0,,       0,,       0,,   10720,,    4960,,    5760,
"Mother tongue","            Arabic",,      95,,      50,,      40,,  171370,,   88400,,   82965,
"Mother tongue","            Assyrian Neo-Aramaic",,       0,,       0,,       0,,   14555,,    7135,,    7420,
"Mother tongue","            Chaldean Neo-Aramaic",,       0,,       0,,       0,,    4795,,    2365,,    2425,
"Mother tongue","            Harari",,       0,,       0,,       0,,    1030,,     485,,     545,
"Mother tongue","            Hebrew",,       5,,       0,,       0,,   11575,,    6220,,    5350,
"Mother tongue","            Maltese",,       5,,       0,,       0,,    5175,,    2575,,    2600,
"Mother tongue","            Tigrigna",,       0,,       0,,       0,,    7345,,    3470,,    3870,
"Mother tongue","            Semitic languages; n.i.e.",,       0,,       0,,       0,,    1435,,     705,,     730,
"Mother tongue","          Afro-Asiatic languages; n.i.e.",,       0,,       0,,       0,,     520,,     265,,     250,
"Mother tongue","        Austro-Asiatic languages",,      20,,       5,,      15,,   78125,,   35880,,   42240,
"Mother tongue","          Khmer (Cambodian)",,       0,,       5,,       0,,    7355,,    3330,,    4020,
"Mother tongue","          Vietnamese",,      15,,       5,,      10,,   70690,,   32520,,   38165,
"Mother tongue","          Austro-Asiatic languages; n.i.e",,       0,,       0,,       0,,      85,,      30,,      50,
"Mother tongue","        Austronesian languages",,      65,,      15,,      50,,  194380,,   76060,,  118315,
"Mother tongue","          Bikol",,       0,,       0,,       0,,     595,,     260,,     330,
"Mother tongue","          Cebuano",,      10,,       5,,       5,,    6545,,    2500,,    4045,
"Mother tongue","          Fijian",,       0,,       0,,       0,,      80,,      45,,      40,
"Mother tongue","          Hiligaynon",,       0,,       0,,       0,,    2750,,    1030,,    1725,
"Mother tongue","          Ilocano",,       0,,       0,,       0,,   11285,,    4430,,    6860,
"Mother tongue","          Malagasy",,       0,,       0,,       0,,     100,,      45,,      55,
"Mother tongue","          Malay",,       0,,       0,,       5,,    5760,,    2520,,    3240,
"Mother tongue","          Pampangan (Kapampangan; Pampango)",,       0,,       0,,       0,,    1505,,     670,,     840,
"Mother tongue","          Pangasinan",,       5,,       0,,       5,,     535,,     215,,     315,
"Mother tongue","          Tagalog (Pilipino; Filipino)",,      50,,      10,,      35,,  163415,,   63665,,   99755,
"Mother tongue","          Waray-Waray",,       0,,       0,,       0,,     405,,     140,,     270,
"Mother tongue","          Austronesian languages; n.i.e.",,       0,,       0,,       0,,    1400,,     550,,     850,
"Mother tongue","        Creole languages",,       5,,       0,,       5,,   11255,,    5095,,    6165,
"Mother tongue","          Haitian Creole",,       0,,       0,,       0,,     630,,     290,,     340,
"Mother tongue","          Creole; n.o.s.",,       0,,       0,,       0,,    8025,,    3580,,    4440,
"Mother tongue","          Creole languages; n.i.e.",,       0,,       0,,       0,,    2605,,    1225,,    1380,
"Mother tongue","        Dravidian languages",,      20,,      10,,      10,,  148605,,   73530,,   75075,
"Mother tongue","          Kannada",,       0,,       0,,       0,,    2670,,    1365,,    1305,
"Mother tongue","          Malayalam",,       5,,       0,,       0,,   17140,,    8795,,    8350,
"Mother tongue","          Tamil",,      15,,      10,,       5,,  117630,,   57310,,   60320,
"Mother tongue","          Telugu",,       0,,       0,,       0,,   10820,,    5895,,    4925,
"Mother tongue","          Dravidian languages; n.i.e.",,       0,,       0,,       0,,     340,,     165,,     175,
"Mother tongue","        Hmong-Mien languages",,       0,,       0,,       0,,     525,,     250,,     270,
"Mother tongue","        Indo-European languages",,    1515,,     700,,     820,, 2024365,,  980200,, 1044165,
"Mother tongue","          Albanian",,       0,,       0,,       0,,   19045,,    9535,,    9510,
"Mother tongue","          Armenian",,       5,,       5,,       5,,   15070,,    7305,,    7765,
"Mother tongue","          Balto-Slavic languages",,     355,,     160,,     200,,  410725,,  188695,,  222025,
"Mother tongue","            Baltic languages",,      15,,       5,,      10,,    9080,,    3785,,    5295,
"Mother tongue","              Latvian",,       5,,       5,,       5,,    3910,,    1650,,    2260,
"Mother tongue","              Lithuanian",,       5,,       0,,       5,,    5175,,    2135,,    3035,
"Mother tongue","            Slavic languages",,     345,,     160,,     190,,  401645,,  184915,,  216730,
"Mother tongue","              Belarusan",,       0,,       0,,       0,,     515,,     230,,     280,
"Mother tongue","              Bosnian",,      10,,       5,,       5,,    6370,,    3125,,    3245,
"Mother tongue","              Bulgarian",,      15,,      10,,      10,,    9095,,    4355,,    4740,
"Mother tongue","              Croatian",,      10,,       5,,       5,,   31875,,   15460,,   16410,
"Mother tongue","              Czech",,      55,,      30,,      25,,   10670,,    4930,,    5740,
"Mother tongue","              Macedonian",,       0,,       0,,       0,,   15635,,    7470,,    8165,
"Mother tongue","              Polish",,     125,,      55,,      70,,  121075,,   54675,,   66405,
"Mother tongue","              Russian",,      60,,      25,,      35,,  101100,,   45630,,   55470,
"Mother tongue","              Serbian",,      15,,      10,,      10,,   41740,,   20585,,   21150,
"Mother tongue","              Serbo-Croatian",,       0,,       0,,       0,,    4875,,    2310,,    2570,
