,,,"Essex, County [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Mother tongue","          Semitic languages",,   17930,,    8970,,    8960,,  227985,,  116320,,  111665,
"Mother tongue","            Amharic",,     100,,      55,,      50,,   10720,,    4960,,    5760,
"Mother tongue","            Arabic",,   14435,,    7250,,    7185,,  171370,,   88400,,   82965,
"Mother tongue","            Assyrian Neo-Aramaic",,     465,,     230,,     235,,   14555,,    7135,,    7420,
"Mother tongue","            Chaldean Neo-Aramaic",,    2425,,    1180,,    1245,,    4795,,    2365,,    2425,
"Mother tongue","            Harari",,       0,,       5,,       5,,    1030,,     485,,     545,
"Mother tongue","            Hebrew",,      25,,      15,,      10,,   11575,,    6220,,    5350,
"Mother tongue","            Maltese",,     215,,     115,,     100,,    5175,,    2575,,    2600,
"Mother tongue","            Tigrigna",,     130,,      60,,      65,,    7345,,    3470,,    3870,
"Mother tongue","            Semitic languages; n.i.e.",,     130,,      65,,      65,,    1435,,     705,,     730,
"Mother tongue","          Afro-Asiatic languages; n.i.e.",,       5,,       5,,       5,,     520,,     265,,     250,
"Mother tongue","        Austro-Asiatic languages",,    2395,,    1145,,    1255,,   78125,,   35880,,   42240,
"Mother tongue","          Khmer (Cambodian)",,     420,,     195,,     230,,    7355,,    3330,,    4020,
"Mother tongue","          Vietnamese",,    1970,,     950,,    1025,,   70690,,   32520,,   38165,
"Mother tongue","          Austro-Asiatic languages; n.i.e",,       0,,       0,,       0,,      85,,      30,,      50,
"Mother tongue","        Austronesian languages",,    2400,,     945,,    1445,,  194380,,   76060,,  118315,
"Mother tongue","          Bikol",,       5,,       5,,       0,,     595,,     260,,     330,
"Mother tongue","          Cebuano",,      85,,      30,,      55,,    6545,,    2500,,    4045,
"Mother tongue","          Fijian",,       0,,       0,,       0,,      80,,      45,,      40,
"Mother tongue","          Hiligaynon",,      30,,       5,,      20,,    2750,,    1030,,    1725,
"Mother tongue","          Ilocano",,      95,,      40,,      60,,   11285,,    4430,,    6860,
"Mother tongue","          Malagasy",,       5,,       0,,       5,,     100,,      45,,      55,
"Mother tongue","          Malay",,      90,,      45,,      50,,    5760,,    2520,,    3240,
"Mother tongue","          Pampangan (Kapampangan; Pampango)",,      20,,      10,,      10,,    1505,,     670,,     840,
"Mother tongue","          Pangasinan",,       5,,       5,,       0,,     535,,     215,,     315,
"Mother tongue","          Tagalog (Pilipino; Filipino)",,    2015,,     795,,    1220,,  163415,,   63665,,   99755,
"Mother tongue","          Waray-Waray",,       0,,       0,,       0,,     405,,     140,,     270,
"Mother tongue","          Austronesian languages; n.i.e.",,      35,,      15,,      25,,    1400,,     550,,     850,
"Mother tongue","        Creole languages",,     220,,     100,,     115,,   11255,,    5095,,    6165,
"Mother tongue","          Haitian Creole",,      15,,      10,,      10,,     630,,     290,,     340,
"Mother tongue","          Creole; n.o.s.",,     165,,      75,,      90,,    8025,,    3580,,    4440,
"Mother tongue","          Creole languages; n.i.e.",,      35,,      15,,      20,,    2605,,    1225,,    1380,
"Mother tongue","        Dravidian languages",,     690,,     390,,     300,,  148605,,   73530,,   75075,
"Mother tongue","          Kannada",,      30,,      15,,      15,,    2670,,    1365,,    1305,
"Mother tongue","          Malayalam",,     185,,     100,,      80,,   17140,,    8795,,    8350,
"Mother tongue","          Tamil",,     305,,     165,,     135,,  117630,,   57310,,   60320,
"Mother tongue","          Telugu",,     160,,     105,,      55,,   10820,,    5895,,    4925,
"Mother tongue","          Dravidian languages; n.i.e.",,      15,,       5,,       5,,     340,,     165,,     175,
"Mother tongue","        Hmong-Mien languages",,       5,,       0,,       0,,     525,,     250,,     270,
"Mother tongue","        Indo-European languages",,   51345,,   25160,,   26185,, 2024365,,  980200,, 1044165,
"Mother tongue","          Albanian",,     965,,     465,,     495,,   19045,,    9535,,    9510,
"Mother tongue","          Armenian",,     210,,      95,,     115,,   15070,,    7305,,    7765,
"Mother tongue","          Balto-Slavic languages",,   12185,,    5710,,    6480,,  410725,,  188695,,  222025,
"Mother tongue","            Baltic languages",,      75,,      30,,      50,,    9080,,    3785,,    5295,
"Mother tongue","              Latvian",,      20,,      10,,      10,,    3910,,    1650,,    2260,
"Mother tongue","              Lithuanian",,      55,,      20,,      35,,    5175,,    2135,,    3035,
"Mother tongue","            Slavic languages",,   12110,,    5680,,    6430,,  401645,,  184915,,  216730,
"Mother tongue","              Belarusan",,       0,,       0,,       0,,     515,,     230,,     280,
"Mother tongue","              Bosnian",,     320,,     160,,     160,,    6370,,    3125,,    3245,
"Mother tongue","              Bulgarian",,     110,,      45,,      65,,    9095,,    4355,,    4740,
"Mother tongue","              Croatian",,    1755,,     845,,     910,,   31875,,   15460,,   16410,
"Mother tongue","              Czech",,     195,,      80,,     115,,   10670,,    4930,,    5740,
"Mother tongue","              Macedonian",,    1185,,     580,,     610,,   15635,,    7470,,    8165,
"Mother tongue","              Polish",,    3095,,    1415,,    1680,,  121075,,   54675,,   66405,
"Mother tongue","              Russian",,     605,,     250,,     355,,  101100,,   45630,,   55470,
"Mother tongue","              Serbian",,    2850,,    1435,,    1415,,   41740,,   20585,,   21150,
"Mother tongue","              Serbo-Croatian",,     215,,     100,,     115,,    4875,,    2310,,    2570,
"Mother tongue","              Slovak",,     915,,     415,,     500,,   10280,,    4710,,    5565,
"Mother tongue","              Slovene (Slovenian)",,     155,,      65,,      90,,    6740,,    2995,,    3745,
"Mother tongue","              Ukrainian",,     620,,     245,,     370,,   40375,,   17760,,   22610,
