,,,"Timiskaming, District [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Age characteristics","    75 to 79 years",,    1285,,     585,,     690,,  393010,,  179810,,  213195,
"Age characteristics","    80 to 84 years",,     925,,     430,,     490,,  291185,,  126825,,  164360,
"Age characteristics","    85 years and over",,     805,,     265,,     545,,  301075,,  106090,,  194985,
"Age characteristics","      85 to 89 years",,     515,,     185,,     335,,  188470,,   73045,,  115425,
"Age characteristics","      90 to 94 years",,     235,,      70,,     165,,   88390,,   27400,,   60990,
"Age characteristics","      95 to 99 years",,      55,,      10,,      45,,   21210,,    5150,,   16060,
"Age characteristics","      100 years and over",,       0,,       0,,       5,,    3005,,     495,,    2520,
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,
"Age characteristics","  0 to 14 years",,   15.2,,   15.5,,   15.0,,   16.4,,   17.3,,   15.6,
"Age characteristics","  15 to 64 years",,   63.1,,   63.8,,   62.3,,   66.8,,   67.3,,   66.4,
"Age characteristics","  65 years and over",,   21.7,,   20.7,,   22.7,,   16.7,,   15.5,,   17.9,
"Age characteristics","    85 years and over",,    2.5,,    1.7,,    3.4,,    2.2,,    1.6,,    2.8,
"Age characteristics","Average age of the population",,   44.2,,   43.4,,   45.0,,   41.0,,   40.0,,   41.9,
"Age characteristics","Median age of the population",,   47.2,,   46.2,,   48.0,,   41.3,,   40.2,,   42.4,
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",5,   14395,,,...,,..., 5169175,,,...,,...
"Household and dwelling characteristics","  Single-detached house",,   11300,,,...,,..., 2807380,,,...,,...
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",,     165,,,...,,...,  886705,,,...,,...
"Household and dwelling characteristics","  Other attached dwelling",6,    2795,,,...,,..., 1460200,,,...,,...
"Household and dwelling characteristics","    Semi-detached house",,     225,,,...,,...,  289975,,,...,,...
"Household and dwelling characteristics","    Row house",,     185,,,...,,...,  460425,,,...,,...
"Household and dwelling characteristics","    Apartment or flat in a duplex",,     455,,,...,,...,  176080,,,...,,...
"Household and dwelling characteristics","    Apartment in a building that has fewer than five storeys",,    1875,,,...,,...,  522810,,,...,,...
"Household and dwelling characteristics","    Other single-attached house",,      60,,,...,,...,   10910,,,...,,...
"Household and dwelling characteristics","  Movable dwelling",7,     135,,,...,,...,   14890,,,...,,...
"Household and dwelling characteristics","Total - Private households by household size - 100% data",8,   14395,,,...,,..., 5169170,,,...,,...
"Household and dwelling characteristics","  1 person",,    4665,,,...,,..., 1341300,,,...,,...
"Household and dwelling characteristics","  2 persons",,    5625,,,...,,..., 1693525,,,...,,...
"Household and dwelling characteristics","  3 persons",,    1830,,,...,,...,  834260,,,...,,...
"Household and dwelling characteristics","  4 persons",,    1490,,,...,,...,  796320,,,...,,...
"Household and dwelling characteristics","  5 or more persons",,     785,,,...,,...,  503775,,,...,,...
"Household and dwelling characteristics","Number of persons in private households",,   31675,,,...,,...,13242160,,,...,,...
"Household and dwelling characteristics","Average household size",,    2.2,,,...,,...,    2.6,,,...,,...
"Marital status","Total - Marital status for the population aged 15 years and over - 100% data",9,   27335,,   13515,,   13825,,11240525,, 5427775,, 5812750,
"Marital status","  Married or living common law",,   16450,,    8230,,    8215,, 6438085,, 3219290,, 3218795,
"Marital status","    Married",,   12735,,    6380,,    6355,, 5531930,, 2764275,, 2767655,
