,,,"Toronto, Census division [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Marital status","    Never married",,  806270,,  410970,,  395295,, 3182785,, 1689180,, 1493605,
"Marital status","    Separated",,   68715,,   27570,,   41145,,  328675,,  138140,,  190535,
"Marital status","    Divorced",,  152000,,   55485,,   96510,,  653835,,  252900,,  400935,
"Marital status","    Widowed",,  125100,,   22810,,  102285,,  637150,,  128265,,  508880,
"Family characteristics","Total - Census families in private households by family size - 100% data",10,  718755,,,...,,..., 3782540,,,...,,...
"Family characteristics","  2 persons",,  344110,,,...,,..., 1815000,,,...,,...
"Family characteristics","  3 persons",,  174600,,,...,,...,  844545,,,...,,...
"Family characteristics","  4 persons",,  143250,,,...,,...,  792435,,,...,,...
"Family characteristics","  5 or more persons",,   56795,,,...,,...,  330560,,,...,,...
"Family characteristics","Average size of census families",,    2.9,,,...,,...,    2.9,,,...,,...
"Family characteristics","Total number of census families in private households - 100% data",11,  718755,,,...,,..., 3782545,,,...,,...
"Family characteristics","  Total couple families",,  566155,,,...,,..., 3137570,,,...,,...
"Family characteristics","    Married couples",,  481125,,,...,,..., 2684735,,,...,,...
"Family characteristics","    Common-law couples",,   85030,,,...,,...,  452840,,,...,,...
"Family characteristics","  Total lone-parent families by sex of parent",,  152600,,,...,,...,  644975,,,...,,...
"Family characteristics","    Female parent",,  128545,,,...,,...,  518480,,,...,,...
"Family characteristics","    Male parent",,   24055,,,...,,...,  126495,,,...,,...
"Family characteristics","Total - Couple census families in private households - 100% data",,  566155,,,...,,..., 3137565,,,...,,...
"Family characteristics","  Couples without children",,  250085,,,...,,..., 1428575,,,...,,...
"Family characteristics","  Couples with children",,  316070,,,...,,..., 1708995,,,...,,...
"Family characteristics","    1 child",,  133440,,,...,,...,  658305,,,...,,...
"Family characteristics","    2 children",,  130765,,,...,,...,  738710,,,...,,...
"Family characteristics","    3 or more children",,   51865,,,...,,...,  311975,,,...,,...
"Family characteristics","Total - Lone-parent census families in private households - 100% data",,  152595,,,...,,...,  644975,,,...,,...
"Family characteristics","  1 child",,   94025,,,...,,...,  386425,,,...,,...
"Family characteristics","  2 children",,   41160,,,...,,...,  186240,,,...,,...
"Family characteristics","  3 or more children",,   17415,,,...,,...,   72310,,,...,,...
"Family characteristics","Total - Persons not in census families in private households - 100% data",,  602860,,  277825,,  325035,, 2139825,,  990525,, 1149300,
"Household type","Total - Private households by household type - 100% data",12, 1112930,,,...,,..., 5169175,,,...,,...
"Household type","  One-census-family households",,  653360,,,...,,..., 3481885,,,...,,...
"Household type","    Without children in a census family",13,  226080,,,...,,..., 1311575,,,...,,...
"Household type","    With children in a census family",14,  427275,,,...,,..., 2170315,,,...,,...
"Household type","  Multiple-census-family households",,   31600,,,...,,...,  145615,,,...,,...
"Household type","  Non-census-family households",,  427975,,,...,,..., 1541665,,,...,,...
"Household type","    One-person households",,  359960,,,...,,..., 1341305,,,...,,...
"Household type","    Two-or-more person non-census-family households",,   68010,,,...,,...,  200365,,,...,,...
"Knowledge of official languages","Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",15, 2704415,, 1301900,, 1402515,,13312865,, 6503875,, 6808990,
"Knowledge of official languages","  English only",, 2323235,, 1139580,, 1183655,,11455500,, 5689830,, 5765665,
"Knowledge of official languages","  French only",,    2725,,    1140,,    1580,,   40040,,   17340,,   22705,
"Knowledge of official languages","  English and French",,  245695,,  107985,,  137705,, 1490390,,  665850,,  824540,
"Knowledge of official languages","  Neither English nor French",,  132765,,   53195,,   79570,,  326935,,  130850,,  196085,
"First official language spoken","Total - First official language spoken for the total population excluding institutional residents - 100% data",16, 2704420,, 1301905,, 1402515,,13312865,, 6503880,, 6808995,
"First official language spoken","  English",, 2508815,, 1219600,, 1289215,,12394325,, 6095970,, 6298355,
"First official language spoken","  French",,   39795,,   18800,,   20995,,  504130,,  236875,,  267250,
"First official language spoken","  English and French",,   24865,,   11210,,   13660,,   92940,,   42910,,   50030,
"First official language spoken","  Neither English nor French",,  130940,,   52295,,   78645,,  321480,,  128125,,  193355,
"First official language spoken","Official language minority (number)",17,   52230,,   24405,,   27825,,  550600,,  258330,,  292270,
"First official language spoken","Official language minority (percentage)",17,    1.9,,    1.9,,    2.0,,    4.1,,    4.0,,    4.3,
"Mother tongue","Total - Mother tongue for the total population excluding institutional residents - 100% data",18, 2704415,, 1301905,, 1402515,,13312870,, 6503875,, 6808990,
"Mother tongue","  Single responses",, 2598230,, 1251215,, 1347010,,12946960,, 6327630,, 6619330,
"Mother tongue","    Official languages",, 1411345,,  697965,,  713380,, 9393040,, 4637520,, 4755520,
"Mother tongue","      English",, 1375905,,  681120,,  694785,, 8902320,, 4406210,, 4496110,
"Mother tongue","      French",,   35440,,   16840,,   18595,,  490715,,  231310,,  259410,
"Mother tongue","    Non-official languages",, 1186885,,  553250,,  633630,, 3553920,, 1690110,, 1863810,
"Mother tongue","      Aboriginal languages",,     420,,     185,,     235,,   22765,,   10815,,   11950,
"Mother tongue","        Algonquian languages",,     310,,     135,,     170,,   21235,,   10175,,   11060,
"Mother tongue","          Blackfoot",,       5,,       0,,       5,,      10,,       5,,       5,
"Mother tongue","          Cree-Montagnais languages",,      90,,      35,,      50,,    5080,,    2485,,    2595,
"Mother tongue","            Atikamekw",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Montagnais (Innu)",,       0,,       5,,       0,,       5,,       5,,       5,
"Mother tongue","            Moose Cree",,       5,,       5,,       5,,      85,,      40,,      45,
"Mother tongue","            Naskapi",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","            Northern East Cree",,       0,,       0,,       0,,      55,,      25,,      30,
"Mother tongue","            Plains Cree",,      10,,       5,,       5,,      35,,       5,,      30,
"Mother tongue","            Southern East Cree",,       0,,       0,,       5,,       5,,       0,,       0,
