,,,"Brant, Census division [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Marital status","    Never married",,   28565,,   15470,,   13090,, 3182785,, 1689180,, 1493605,
"Marital status","    Separated",,    4055,,    1720,,    2335,,  328675,,  138140,,  190535,
"Marital status","    Divorced",,    6905,,    2730,,    4180,,  653835,,  252900,,  400935,
"Marital status","    Widowed",,    7045,,    1480,,    5570,,  637150,,  128265,,  508880,
"Family characteristics","Total - Census families in private households by family size - 100% data",10,   38920,,,...,,..., 3782540,,,...,,...
"Family characteristics","  2 persons",,   19585,,,...,,..., 1815000,,,...,,...
"Family characteristics","  3 persons",,    8590,,,...,,...,  844545,,,...,,...
"Family characteristics","  4 persons",,    7365,,,...,,...,  792435,,,...,,...
"Family characteristics","  5 or more persons",,    3375,,,...,,...,  330560,,,...,,...
"Family characteristics","Average size of census families",,    2.9,,,...,,...,    2.9,,,...,,...
"Family characteristics","Total number of census families in private households - 100% data",11,   38920,,,...,,..., 3782545,,,...,,...
"Family characteristics","  Total couple families",,   31730,,,...,,..., 3137570,,,...,,...
"Family characteristics","    Married couples",,   26020,,,...,,..., 2684735,,,...,,...
"Family characteristics","    Common-law couples",,    5710,,,...,,...,  452840,,,...,,...
"Family characteristics","  Total lone-parent families by sex of parent",,    7190,,,...,,...,  644975,,,...,,...
"Family characteristics","    Female parent",,    5640,,,...,,...,  518480,,,...,,...
"Family characteristics","    Male parent",,    1545,,,...,,...,  126495,,,...,,...
"Family characteristics","Total - Couple census families in private households - 100% data",,   31725,,,...,,..., 3137565,,,...,,...
"Family characteristics","  Couples without children",,   15340,,,...,,..., 1428575,,,...,,...
"Family characteristics","  Couples with children",,   16385,,,...,,..., 1708995,,,...,,...
"Family characteristics","    1 child",,    6440,,,...,,...,  658305,,,...,,...
"Family characteristics","    2 children",,    6770,,,...,,...,  738710,,,...,,...
"Family characteristics","    3 or more children",,    3180,,,...,,...,  311975,,,...,,...
"Family characteristics","Total - Lone-parent census families in private households - 100% data",,    7190,,,...,,...,  644975,,,...,,...
"Family characteristics","  1 child",,    4245,,,...,,...,  386425,,,...,,...
"Family characteristics","  2 children",,    2150,,,...,,...,  186240,,,...,,...
"Family characteristics","  3 or more children",,     795,,,...,,...,   72310,,,...,,...
"Family characteristics","Total - Persons not in census families in private households - 100% data",,   19685,,    9260,,   10425,, 2139825,,  990525,, 1149300,
"Household type","Total - Private households by household type - 100% data",12,   52725,,,...,,..., 5169175,,,...,,...
"Household type","  One-census-family households",,   36540,,,...,,..., 3481885,,,...,,...
"Household type","    Without children in a census family",13,   14415,,,...,,..., 1311575,,,...,,...
"Household type","    With children in a census family",14,   22125,,,...,,..., 2170315,,,...,,...
"Household type","  Multiple-census-family households",,    1165,,,...,,...,  145615,,,...,,...
"Household type","  Non-census-family households",,   15015,,,...,,..., 1541665,,,...,,...
"Household type","    One-person households",,   13545,,,...,,..., 1341305,,,...,,...
"Household type","    Two-or-more person non-census-family households",,    1470,,,...,,...,  200365,,,...,,...
"Knowledge of official languages","Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",15,  133355,,   65145,,   68210,,13312865,, 6503875,, 6808990,
"Knowledge of official languages","  English only",,  126465,,   62335,,   64125,,11455500,, 5689830,, 5765665,
"Knowledge of official languages","  French only",,      30,,      15,,      20,,   40040,,   17340,,   22705,
"Knowledge of official languages","  English and French",,    6025,,    2475,,    3555,, 1490390,,  665850,,  824540,
"Knowledge of official languages","  Neither English nor French",,     825,,     315,,     515,,  326935,,  130850,,  196085,
"First official language spoken","Total - First official language spoken for the total population excluding institutional residents - 100% data",16,  133350,,   65140,,   68210,,13312865,, 6503880,, 6808995,
"First official language spoken","  English",,  131205,,   64220,,   66985,,12394325,, 6095970,, 6298355,
"First official language spoken","  French",,    1210,,     565,,     650,,  504130,,  236875,,  267250,
"First official language spoken","  English and French",,     140,,      60,,      80,,   92940,,   42910,,   50030,
"First official language spoken","  Neither English nor French",,     790,,     295,,     500,,  321480,,  128125,,  193355,
"First official language spoken","Official language minority (number)",17,    1280,,     590,,     685,,  550600,,  258330,,  292270,
"First official language spoken","Official language minority (percentage)",17,    1.0,,    0.9,,    1.0,,    4.1,,    4.0,,    4.3,
"Mother tongue","Total - Mother tongue for the total population excluding institutional residents - 100% data",18,  133350,,   65140,,   68210,,13312870,, 6503875,, 6808990,
"Mother tongue","  Single responses",,  131940,,   64485,,   67455,,12946960,, 6327630,, 6619330,
"Mother tongue","    Official languages",,  118515,,   58055,,   60460,, 9393040,, 4637520,, 4755520,
"Mother tongue","      English",,  117230,,   57450,,   59780,, 8902320,, 4406210,, 4496110,
