,,,"Chatham-Kent, Census division [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Marital status","    Never married",,   20215,,   10945,,    9270,, 3182785,, 1689180,, 1493605,
"Marital status","    Separated",,    2845,,    1265,,    1580,,  328675,,  138140,,  190535,
"Marital status","    Divorced",,    5380,,    2390,,    2980,,  653835,,  252900,,  400935,
"Marital status","    Widowed",,    6585,,    1380,,    5205,,  637150,,  128265,,  508880,
"Family characteristics","Total - Census families in private households by family size - 100% data",10,   29740,,,...,,..., 3782540,,,...,,...
"Family characteristics","  2 persons",,   16760,,,...,,..., 1815000,,,...,,...
"Family characteristics","  3 persons",,    5700,,,...,,...,  844545,,,...,,...
"Family characteristics","  4 persons",,    4800,,,...,,...,  792435,,,...,,...
"Family characteristics","  5 or more persons",,    2485,,,...,,...,  330560,,,...,,...
"Family characteristics","Average size of census families",,    2.8,,,...,,...,    2.9,,,...,,...
"Family characteristics","Total number of census families in private households - 100% data",11,   29745,,,...,,..., 3782545,,,...,,...
"Family characteristics","  Total couple families",,   24745,,,...,,..., 3137570,,,...,,...
"Family characteristics","    Married couples",,   20845,,,...,,..., 2684735,,,...,,...
"Family characteristics","    Common-law couples",,    3900,,,...,,...,  452840,,,...,,...
"Family characteristics","  Total lone-parent families by sex of parent",,    4995,,,...,,...,  644975,,,...,,...
"Family characteristics","    Female parent",,    3930,,,...,,...,  518480,,,...,,...
"Family characteristics","    Male parent",,    1070,,,...,,...,  126495,,,...,,...
"Family characteristics","Total - Couple census families in private households - 100% data",,   24745,,,...,,..., 3137565,,,...,,...
"Family characteristics","  Couples without children",,   13785,,,...,,..., 1428575,,,...,,...
"Family characteristics","  Couples with children",,   10960,,,...,,..., 1708995,,,...,,...
"Family characteristics","    1 child",,    4305,,,...,,...,  658305,,,...,,...
"Family characteristics","    2 children",,    4330,,,...,,...,  738710,,,...,,...
"Family characteristics","    3 or more children",,    2325,,,...,,...,  311975,,,...,,...
"Family characteristics","Total - Lone-parent census families in private households - 100% data",,    4995,,,...,,...,  644975,,,...,,...
"Family characteristics","  1 child",,    2970,,,...,,...,  386425,,,...,,...
"Family characteristics","  2 children",,    1400,,,...,,...,  186240,,,...,,...
"Family characteristics","  3 or more children",,     625,,,...,,...,   72310,,,...,,...
"Family characteristics","Total - Persons not in census families in private households - 100% data",,   16340,,    7755,,    8585,, 2139825,,  990525,, 1149300,
"Household type","Total - Private households by household type - 100% data",12,   43175,,,...,,..., 5169175,,,...,,...
"Household type","  One-census-family households",,   28920,,,...,,..., 3481885,,,...,,...
"Household type","    Without children in a census family",13,   13475,,,...,,..., 1311575,,,...,,...
"Household type","    With children in a census family",14,   15450,,,...,,..., 2170315,,,...,,...
"Household type","  Multiple-census-family households",,     405,,,...,,...,  145615,,,...,,...
"Household type","  Non-census-family households",,   13845,,,...,,..., 1541665,,,...,,...
"Household type","    One-person households",,   12875,,,...,,..., 1341305,,,...,,...
"Household type","    Two-or-more person non-census-family households",,     975,,,...,,...,  200365,,,...,,...
"Knowledge of official languages","Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",15,  101085,,   49440,,   51640,,13312865,, 6503875,, 6808990,
"Knowledge of official languages","  English only",,   93390,,   45935,,   47455,,11455500,, 5689830,, 5765665,
"Knowledge of official languages","  French only",,      75,,      30,,      45,,   40040,,   17340,,   22705,
"Knowledge of official languages","  English and French",,    7050,,    3230,,    3820,, 1490390,,  665850,,  824540,
"Knowledge of official languages","  Neither English nor French",,     570,,     250,,     325,,  326935,,  130850,,  196085,
"First official language spoken","Total - First official language spoken for the total population excluding institutional residents - 100% data",16,  101085,,   49445,,   51640,,13312865,, 6503880,, 6808995,
"First official language spoken","  English",,   98185,,   48065,,   50120,,12394325,, 6095970,, 6298355,
"First official language spoken","  French",,    2245,,    1100,,    1145,,  504130,,  236875,,  267250,
"First official language spoken","  English and French",,     105,,      40,,      60,,   92940,,   42910,,   50030,
"First official language spoken","  Neither English nor French",,     555,,     240,,     315,,  321480,,  128125,,  193355,
"First official language spoken","Official language minority (number)",17,    2290,,    1120,,    1175,,  550600,,  258330,,  292270,
"First official language spoken","Official language minority (percentage)",17,    2.3,,    2.3,,    2.3,,    4.1,,    4.0,,    4.3,
"Mother tongue","Total - Mother tongue for the total population excluding institutional residents - 100% data",18,  101080,,   49440,,   51640,,13312870,, 6503875,, 6808990,
"Mother tongue","  Single responses",,  100150,,   49000,,   51150,,12946960,, 6327630,, 6619330,
"Mother tongue","    Official languages",,   91760,,   44970,,   46790,, 9393040,, 4637520,, 4755520,
"Mother tongue","      English",,   89210,,   43755,,   45455,, 8902320,, 4406210,, 4496110,
"Mother tongue","      French",,    2545,,    1220,,    1330,,  490715,,  231310,,  259410,
"Mother tongue","    Non-official languages",,    8390,,    4025,,    4360,, 3553920,, 1690110,, 1863810,
"Mother tongue","      Aboriginal languages",,      20,,      10,,      10,,   22765,,   10815,,   11950,
"Mother tongue","        Algonquian languages",,      20,,      10,,      10,,   21235,,   10175,,   11060,
"Mother tongue","          Blackfoot",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","          Cree-Montagnais languages",,       5,,       0,,       0,,    5080,,    2485,,    2595,
"Mother tongue","            Atikamekw",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Montagnais (Innu)",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","            Moose Cree",,       0,,       0,,       0,,      85,,      40,,      45,
"Mother tongue","            Naskapi",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","            Northern East Cree",,       5,,       0,,       0,,      55,,      25,,      30,
"Mother tongue","            Plains Cree",,       0,,       0,,       0,,      35,,       5,,      30,
"Mother tongue","            Southern East Cree",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Swampy Cree",,       0,,       0,,       0,,     355,,     135,,     225,
"Mother tongue","            Woods Cree",,       0,,       0,,       0,,      15,,      10,,       5,
"Mother tongue","            Cree; n.o.s.",,       0,,       0,,       0,,    4500,,    2255,,    2245,
"Mother tongue","          Eastern Algonquian languages",,       0,,       0,,       5,,      90,,      40,,      50,
"Mother tongue","            Malecite",,       0,,       0,,       0,,      10,,       5,,       0,
"Mother tongue","            Mi'kmaq",,       0,,       0,,       0,,      85,,      35,,      50,
"Mother tongue","          Ojibway-Potawatomi languages",,      15,,      10,,      10,,   16025,,    7620,,    8400,
"Mother tongue","            Algonquin",,       0,,       0,,       0,,      65,,      30,,      35,
"Mother tongue","            Ojibway",,      15,,       5,,       5,,    9505,,    4515,,    4985,
"Mother tongue","            Oji-Cree",,       0,,       5,,       0,,    6310,,    3015,,    3300,
"Mother tongue","            Ottawa (Odawa)",,       0,,       0,,       0,,     145,,      65,,      80,
"Mother tongue","          Algonquian languages; n.i.e.",,       0,,       0,,       0,,      30,,      20,,      10,
"Mother tongue","        Athabaskan languages",,       0,,       0,,       0,,      60,,      20,,      40,
"Mother tongue","          Northern Athabaskan languages",,       0,,       0,,       0,,      55,,      20,,      35,
"Mother tongue","            Babine (Wetsuwet'en)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Beaver",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Carrier",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","            Chilcotin",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","            Dene",,       0,,       0,,       0,,      20,,      10,,      10,
"Mother tongue","            Dogrib (Tlicho)",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","            Gwich'in",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Sarsi (Sarcee)",,       0,,       0,,       0,,      10,,       0,,       5,
"Mother tongue","            Sekani",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Slavey-Hare languages",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","              North Slavey (Hare)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              South Slavey",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Slavey; n.o.s.",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","            Tahltan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Kaska (Nahani)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Tahltan",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Tutchone languages",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","              Northern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Southern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Athabaskan languages; n.i.e.",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","        Haida",,       0,,       0,,       0,,       0,,       5,,       0,
"Mother tongue","        Inuit languages",,       0,,       0,,       0,,     475,,     165,,     305,
"Mother tongue","          Inuinnaqtun (Inuvialuktun)",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","          Inuktitut",,       0,,       0,,       0,,     425,,     145,,     280,
"Mother tongue","          Inuit languages; n.i.e.",,       0,,       0,,       0,,      45,,      20,,      25,
"Mother tongue","        Iroquoian languages",,       0,,       0,,       0,,     710,,     300,,     410,
"Mother tongue","          Cayuga",,       0,,       0,,       0,,      40,,      20,,      20,
"Mother tongue","          Mohawk",,       5,,       0,,       0,,     590,,     255,,     335,
"Mother tongue","          Oneida",,       0,,       0,,       0,,      55,,      15,,      40,
"Mother tongue","          Iroquoian languages; n.i.e.",,       0,,       0,,       0,,      20,,       5,,      15,
"Mother tongue","        Kutenai",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Michif",,       0,,       0,,       0,,      25,,      15,,      15,
"Mother tongue","        Salish languages",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","          Comox",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Halkomelem",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Lillooet",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Okanagan",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Shuswap (Secwepemctsin)",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","          Squamish",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Straits",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Thompson (Ntlakapamux)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Salish languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Siouan languages",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","          Dakota",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","          Stoney",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Siouan languages; n.i.e.",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","        Tlingit",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Tsimshian languages",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","          Gitxsan (Gitksan)",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","          Nisga'a",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","          Tsimshian",,       0,,       0,,       0,,       0,,       5,,       0,
"Mother tongue","        Wakashan languages",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","          Haisla",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Heiltsuk",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Kwakiutl (Kwak'wala)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Nuu-chah-nulth (Nootka)",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","          Wakashan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Aboriginal languages; n.o.s.",,       0,,       0,,       5,,     235,,     130,,     105,
"Mother tongue","      Non-Aboriginal languages",,    8365,,    4020,,    4350,, 3531160,, 1679300,, 1851865,
"Mother tongue","        Afro-Asiatic languages",,     125,,      75,,      50,,  253830,,  127720,,  126110,
"Mother tongue","          Berber languages",,       0,,       0,,       0,,     725,,     405,,     320,
"Mother tongue","            Kabyle",,       0,,       0,,       0,,     425,,     225,,     200,
"Mother tongue","            Berber languages; n.i.e.",,       5,,       0,,       0,,     305,,     180,,     120,
"Mother tongue","          Cushitic languages",,       5,,       5,,       5,,   24605,,   10730,,   13870,
"Mother tongue","            Bilen",,       0,,       0,,       0,,     250,,     140,,     110,
"Mother tongue","            Oromo",,       0,,       0,,       0,,    1445,,     720,,     730,
"Mother tongue","            Somali",,       5,,       0,,       0,,   22680,,    9755,,   12925,
"Mother tongue","            Cushitic languages; n.i.e.",,       0,,       0,,       0,,     225,,     115,,     110,
"Mother tongue","          Semitic languages",,     120,,      65,,      50,,  227985,,  116320,,  111665,
"Mother tongue","            Amharic",,       0,,       0,,       0,,   10720,,    4960,,    5760,
"Mother tongue","            Arabic",,      90,,      55,,      35,,  171370,,   88400,,   82965,
"Mother tongue","            Assyrian Neo-Aramaic",,       0,,       0,,       0,,   14555,,    7135,,    7420,
"Mother tongue","            Chaldean Neo-Aramaic",,       0,,       5,,       0,,    4795,,    2365,,    2425,
"Mother tongue","            Harari",,       0,,       0,,       0,,    1030,,     485,,     545,
"Mother tongue","            Hebrew",,       5,,       0,,       0,,   11575,,    6220,,    5350,
"Mother tongue","            Maltese",,      20,,      15,,      10,,    5175,,    2575,,    2600,
"Mother tongue","            Tigrigna",,       5,,       5,,       0,,    7345,,    3470,,    3870,
"Mother tongue","            Semitic languages; n.i.e.",,       0,,       0,,       0,,    1435,,     705,,     730,
"Mother tongue","          Afro-Asiatic languages; n.i.e.",,       0,,       0,,       0,,     520,,     265,,     250,
"Mother tongue","        Austro-Asiatic languages",,     215,,     100,,     115,,   78125,,   35880,,   42240,
"Mother tongue","          Khmer (Cambodian)",,       5,,       0,,       0,,    7355,,    3330,,    4020,
"Mother tongue","          Vietnamese",,     210,,     100,,     110,,   70690,,   32520,,   38165,
"Mother tongue","          Austro-Asiatic languages; n.i.e",,       0,,       0,,       0,,      85,,      30,,      50,
"Mother tongue","        Austronesian languages",,     130,,      30,,     100,,  194380,,   76060,,  118315,
"Mother tongue","          Bikol",,       0,,       0,,       0,,     595,,     260,,     330,
"Mother tongue","          Cebuano",,      10,,       0,,      10,,    6545,,    2500,,    4045,
"Mother tongue","          Fijian",,       0,,       0,,       0,,      80,,      45,,      40,
"Mother tongue","          Hiligaynon",,       5,,       0,,       5,,    2750,,    1030,,    1725,
"Mother tongue","          Ilocano",,       0,,       0,,       0,,   11285,,    4430,,    6860,
"Mother tongue","          Malagasy",,       0,,       0,,       0,,     100,,      45,,      55,
"Mother tongue","          Malay",,      10,,       0,,       5,,    5760,,    2520,,    3240,
