,,,"Ottawa, Census division [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Marital status","    Never married",,  236315,,  123420,,  112900,, 3182785,, 1689180,, 1493605,
"Marital status","    Separated",,   21015,,    8500,,   12520,,  328675,,  138140,,  190535,
"Marital status","    Divorced",,   46005,,   16540,,   29460,,  653835,,  252900,,  400935,
"Marital status","    Widowed",,   37735,,    7535,,   30200,,  637150,,  128265,,  508880,
"Family characteristics","Total - Census families in private households by family size - 100% data",10,  254765,,,...,,..., 3782540,,,...,,...
"Family characteristics","  2 persons",,  123855,,,...,,..., 1815000,,,...,,...
"Family characteristics","  3 persons",,   54630,,,...,,...,  844545,,,...,,...
"Family characteristics","  4 persons",,   53400,,,...,,...,  792435,,,...,,...
"Family characteristics","  5 or more persons",,   22885,,,...,,...,  330560,,,...,,...
"Family characteristics","Average size of census families",,    2.9,,,...,,...,    2.9,,,...,,...
"Family characteristics","Total number of census families in private households - 100% data",11,  254770,,,...,,..., 3782545,,,...,,...
"Family characteristics","  Total couple families",,  213535,,,...,,..., 3137570,,,...,,...
"Family characteristics","    Married couples",,  177990,,,...,,..., 2684735,,,...,,...
"Family characteristics","    Common-law couples",,   35545,,,...,,...,  452840,,,...,,...
"Family characteristics","  Total lone-parent families by sex of parent",,   41235,,,...,,...,  644975,,,...,,...
"Family characteristics","    Female parent",,   32865,,,...,,...,  518480,,,...,,...
"Family characteristics","    Male parent",,    8375,,,...,,...,  126495,,,...,,...
"Family characteristics","Total - Couple census families in private households - 100% data",,  213535,,,...,,..., 3137565,,,...,,...
"Family characteristics","  Couples without children",,   99685,,,...,,..., 1428575,,,...,,...
"Family characteristics","  Couples with children",,  113855,,,...,,..., 1708995,,,...,,...
"Family characteristics","    1 child",,   42570,,,...,,...,  658305,,,...,,...
"Family characteristics","    2 children",,   49895,,,...,,...,  738710,,,...,,...
"Family characteristics","    3 or more children",,   21395,,,...,,...,  311975,,,...,,...
"Family characteristics","Total - Lone-parent census families in private households - 100% data",,   41235,,,...,,...,  644975,,,...,,...
"Family characteristics","  1 child",,   24170,,,...,,...,  386425,,,...,,...
"Family characteristics","  2 children",,   12065,,,...,,...,  186240,,,...,,...
"Family characteristics","  3 or more children",,    4995,,,...,,...,   72310,,,...,,...
"Family characteristics","Total - Persons not in census families in private households - 100% data",,  168745,,   78365,,   90380,, 2139825,,  990525,, 1149300,
"Household type","Total - Private households by household type - 100% data",12,  373755,,,...,,..., 5169175,,,...,,...
"Household type","  One-census-family households",,  243065,,,...,,..., 3481885,,,...,,...
"Household type","    Without children in a census family",13,   94935,,,...,,..., 1311575,,,...,,...
"Household type","    With children in a census family",14,  148135,,,...,,..., 2170315,,,...,,...
"Household type","  Multiple-census-family households",,    5750,,,...,,...,  145615,,,...,,...
"Household type","  Non-census-family households",,  124935,,,...,,..., 1541665,,,...,,...
"Household type","    One-person households",,  105745,,,...,,..., 1341305,,,...,,...
"Household type","    Two-or-more person non-census-family households",,   19190,,,...,,...,  200365,,,...,,...
"Knowledge of official languages","Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",15,  923370,,  449335,,  474035,,13312865,, 6503875,, 6808990,
"Knowledge of official languages","  English only",,  549395,,  279175,,  270220,,11455500,, 5689830,, 5765665,
"Knowledge of official languages","  French only",,   12680,,    5070,,    7610,,   40040,,   17340,,   22705,
"Knowledge of official languages","  English and French",,  347510,,  159620,,  187885,, 1490390,,  665850,,  824540,
"Knowledge of official languages","  Neither English nor French",,   13790,,    5465,,    8320,,  326935,,  130850,,  196085,
"First official language spoken","Total - First official language spoken for the total population excluding institutional residents - 100% data",16,  923375,,  449330,,  474035,,13312865,, 6503880,, 6808995,
"First official language spoken","  English",,  749720,,  370360,,  379360,,12394325,, 6095970,, 6298355,
"First official language spoken","  French",,  138900,,   63600,,   75300,,  504130,,  236875,,  267250,
"First official language spoken","  English and French",,   21300,,   10070,,   11230,,   92940,,   42910,,   50030,
"First official language spoken","  Neither English nor French",,   13445,,    5295,,    8145,,  321480,,  128125,,  193355,
"First official language spoken","Official language minority (number)",17,  149555,,   68635,,   80915,,  550600,,  258330,,  292270,
"First official language spoken","Official language minority (percentage)",17,   16.2,,   15.3,,   17.1,,    4.1,,    4.0,,    4.3,
"Mother tongue","Total - Mother tongue for the total population excluding institutional residents - 100% data",18,  923370,,  449330,,  474040,,13312870,, 6503875,, 6808990,
"Mother tongue","  Single responses",,  889715,,  433335,,  456380,,12946960,, 6327630,, 6619330,
"Mother tongue","    Official languages",,  689295,,  338895,,  350405,, 9393040,, 4637520,, 4755520,
"Mother tongue","      English",,  562075,,  280200,,  281870,, 8902320,, 4406210,, 4496110,
"Mother tongue","      French",,  127220,,   58695,,   68535,,  490715,,  231310,,  259410,
"Mother tongue","    Non-official languages",,  200420,,   94440,,  105975,, 3553920,, 1690110,, 1863810,
"Mother tongue","      Aboriginal languages",,     650,,     245,,     405,,   22765,,   10815,,   11950,
"Mother tongue","        Algonquian languages",,     280,,     115,,     165,,   21235,,   10175,,   11060,
"Mother tongue","          Blackfoot",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","          Cree-Montagnais languages",,     155,,      70,,      85,,    5080,,    2485,,    2595,
"Mother tongue","            Atikamekw",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Montagnais (Innu)",,       5,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","            Moose Cree",,       5,,       5,,       0,,      85,,      40,,      45,
"Mother tongue","            Naskapi",,       5,,       5,,       5,,      10,,       5,,       5,
"Mother tongue","            Northern East Cree",,      20,,      10,,       5,,      55,,      25,,      30,
"Mother tongue","            Plains Cree",,      10,,       5,,       5,,      35,,       5,,      30,
"Mother tongue","            Southern East Cree",,       5,,       0,,       5,,       5,,       0,,       0,
"Mother tongue","            Swampy Cree",,      25,,      10,,      15,,     355,,     135,,     225,
"Mother tongue","            Woods Cree",,       5,,       5,,       0,,      15,,      10,,       5,
"Mother tongue","            Cree; n.o.s.",,      75,,      35,,      45,,    4500,,    2255,,    2245,
"Mother tongue","          Eastern Algonquian languages",,      20,,      10,,      10,,      90,,      40,,      50,
"Mother tongue","            Malecite",,       5,,       5,,       0,,      10,,       5,,       0,
"Mother tongue","            Mi'kmaq",,      20,,       5,,      10,,      85,,      35,,      50,
"Mother tongue","          Ojibway-Potawatomi languages",,     100,,      35,,      65,,   16025,,    7620,,    8400,
"Mother tongue","            Algonquin",,      25,,      10,,      20,,      65,,      30,,      35,
"Mother tongue","            Ojibway",,      65,,      25,,      45,,    9505,,    4515,,    4985,
"Mother tongue","            Oji-Cree",,       5,,       0,,       5,,    6310,,    3015,,    3300,
"Mother tongue","            Ottawa (Odawa)",,       0,,       5,,       5,,     145,,      65,,      80,
"Mother tongue","          Algonquian languages; n.i.e.",,       5,,       0,,       0,,      30,,      20,,      10,
"Mother tongue","        Athabaskan languages",,       5,,       5,,       5,,      60,,      20,,      40,
"Mother tongue","          Northern Athabaskan languages",,       5,,       0,,       5,,      55,,      20,,      35,
"Mother tongue","            Babine (Wetsuwet'en)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Beaver",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Carrier",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","            Chilcotin",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","            Dene",,      10,,       0,,       5,,      20,,      10,,      10,
"Mother tongue","            Dogrib (Tlicho)",,       0,,       0,,       0,,       5,,       5,,       5,
