,,,"Kawartha Lakes, Census division [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Household and dwelling characteristics","    Row house",,     640,,,...,,...,  460425,,,...,,...
"Household and dwelling characteristics","    Apartment or flat in a duplex",,     855,,,...,,...,  176080,,,...,,...
"Household and dwelling characteristics","    Apartment in a building that has fewer than five storeys",,    2080,,,...,,...,  522810,,,...,,...
"Household and dwelling characteristics","    Other single-attached house",,      85,,,...,,...,   10910,,,...,,...
"Household and dwelling characteristics","  Movable dwelling",7,     240,,,...,,...,   14890,,,...,,...
"Household and dwelling characteristics","Total - Private households by household size - 100% data",8,   31110,,,...,,..., 5169170,,,...,,...
"Household and dwelling characteristics","  1 person",,    7685,,,...,,..., 1341300,,,...,,...
"Household and dwelling characteristics","  2 persons",,   13330,,,...,,..., 1693525,,,...,,...
"Household and dwelling characteristics","  3 persons",,    4420,,,...,,...,  834260,,,...,,...
"Household and dwelling characteristics","  4 persons",,    3630,,,...,,...,  796320,,,...,,...
"Household and dwelling characteristics","  5 or more persons",,    2040,,,...,,...,  503775,,,...,,...
"Household and dwelling characteristics","Number of persons in private households",,   73375,,,...,,...,13242160,,,...,,...
"Household and dwelling characteristics","Average household size",,    2.4,,,...,,...,    2.6,,,...,,...
"Marital status","Total - Marital status for the population aged 15 years and over - 100% data",9,   65520,,   32220,,   33305,,11240525,, 5427775,, 5812750,
"Marital status","  Married or living common law",,   41180,,   20670,,   20515,, 6438085,, 3219290,, 3218795,
"Marital status","    Married",,   34340,,   17250,,   17090,, 5531930,, 2764275,, 2767655,
"Marital status","    Living common law",,    6840,,    3420,,    3425,,  906155,,  455015,,  451145,
"Marital status","  Not married and not living common law",,   24340,,   11550,,   12790,, 4802440,, 2208485,, 2593955,
"Marital status","    Never married",,   13470,,    7560,,    5905,, 3182785,, 1689180,, 1493605,
"Marital status","    Separated",,    2080,,    1035,,    1045,,  328675,,  138140,,  190535,
"Marital status","    Divorced",,    3940,,    1830,,    2115,,  653835,,  252900,,  400935,
"Marital status","    Widowed",,    4855,,    1125,,    3730,,  637150,,  128265,,  508880,
"Family characteristics","Total - Census families in private households by family size - 100% data",10,   23235,,,...,,..., 3782540,,,...,,...
"Family characteristics","  2 persons",,   14195,,,...,,..., 1815000,,,...,,...
"Family characteristics","  3 persons",,    4290,,,...,,...,  844545,,,...,,...
"Family characteristics","  4 persons",,    3355,,,...,,...,  792435,,,...,,...
"Family characteristics","  5 or more persons",,    1390,,,...,,...,  330560,,,...,,...
"Family characteristics","Average size of census families",,    2.7,,,...,,...,    2.9,,,...,,...
"Family characteristics","Total number of census families in private households - 100% data",11,   23240,,,...,,..., 3782545,,,...,,...
"Family characteristics","  Total couple families",,   20130,,,...,,..., 3137570,,,...,,...
"Family characteristics","    Married couples",,   16710,,,...,,..., 2684735,,,...,,...
"Family characteristics","    Common-law couples",,    3420,,,...,,...,  452840,,,...,,...
"Family characteristics","  Total lone-parent families by sex of parent",,    3110,,,...,,...,  644975,,,...,,...
"Family characteristics","    Female parent",,    2360,,,...,,...,  518480,,,...,,...
"Family characteristics","    Male parent",,     750,,,...,,...,  126495,,,...,,...
"Family characteristics","Total - Couple census families in private households - 100% data",,   20130,,,...,,..., 3137565,,,...,,...
"Family characteristics","  Couples without children",,   12185,,,...,,..., 1428575,,,...,,...
"Family characteristics","  Couples with children",,    7950,,,...,,..., 1708995,,,...,,...
"Family characteristics","    1 child",,    3485,,,...,,...,  658305,,,...,,...
"Family characteristics","    2 children",,    3135,,,...,,...,  738710,,,...,,...
"Family characteristics","    3 or more children",,    1330,,,...,,...,  311975,,,...,,...
"Family characteristics","Total - Lone-parent census families in private households - 100% data",,    3110,,,...,,...,  644975,,,...,,...
"Family characteristics","  1 child",,    2015,,,...,,...,  386425,,,...,,...
"Family characteristics","  2 children",,     810,,,...,,...,  186240,,,...,,...
